Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
shoulders,dumbbell,676,dumbbell seated lateral raise v. 2,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,677,dumbbell seated neutral wrist curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,678,dumbbell seated one arm bicep curl on exercise ball with leg raised,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,679,dumbbell seated one arm kickback,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
lower arms,dumbbell,680,dumbbell seated one arm rotate,forearms,5,12,3,30,20,Beginner,Medium,,,,
lower legs,dumbbell,681,dumbbell seated one leg calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,dumbbell,682,dumbbell seated one leg calf raise - hammer grip,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,dumbbell,683,dumbbell seated one leg calf raise - palm up,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower arms,dumbbell,684,dumbbell seated palms up wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,685,dumbbell seated preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,686,dumbbell seated revers grip concentration curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,687,dumbbell seated reverse grip one arm overhead tricep extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,688,dumbbell seated shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,689,dumbbell seated shoulder press (parallel grip),delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,690,dumbbell seated triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,dumbbell,691,dumbbell shrug,traps,5,12,3,30,20,Beginner,Medium,,,,
waist,dumbbell,692,dumbbell side bend,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,dumbbell,693,dumbbell side lying one hand raise,delts,5,12,3,30,20,Beginner,Medium,,,,
back,dumbbell,694,dumbbell side plank with rear fly,upper back,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,695,dumbbell single arm overhead carry,delts,5,12,3,30,20,Beginner,Medium,,,,
lower legs,dumbbell,696,dumbbell single leg calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,dumbbell,697,dumbbell single leg deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,698,dumbbell single leg deadlift with stepbox support,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,699,dumbbell single leg split squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,dumbbell,700,dumbbell single leg squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,701,dumbbell squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,dumbbell,702,dumbbell standing alternate hammer curl and press,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,703,dumbbell standing alternate overhead press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,704,dumbbell standing alternate raise,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,705,dumbbell standing alternating tricep kickback,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,706,dumbbell standing around world,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,707,dumbbell standing bent over one arm triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,708,dumbbell standing bent over two arm triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,709,dumbbell standing biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower legs,dumbbell,710,dumbbell standing calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper arms,dumbbell,711,dumbbell standing concentration curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,712,dumbbell standing front raise above head,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,713,dumbbell standing inner biceps curl v. 2,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,714,dumbbell standing kickback,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,715,dumbbell standing one arm concentration curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,716,dumbbell standing one arm curl (over incline bench),biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,717,dumbbell standing one arm curl over incline bench,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,718,dumbbell standing one arm extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,719,dumbbell standing one arm palm in press,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,720,dumbbell standing one arm reverse curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,721,dumbbell standing overhead press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,722,dumbbell standing palms in press,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,723,dumbbell standing preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,724,dumbbell standing reverse curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,725,dumbbell standing triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,726,dumbbell standing zottman preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,727,dumbbell step up single leg balance with bicep curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper legs,dumbbell,728,dumbbell step-up,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,dumbbell,729,dumbbell step-up lunge,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,dumbbell,730,dumbbell step-up split squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,dumbbell,731,dumbbell stiff leg deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
