Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
upper legs,stability ball,1098,reverse hyper extension (on stability ball),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,1099,reverse hyper on flat bench,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,1100,reverse plank with leg lift,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,body weight,1101,ring dips,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper legs,body weight,1102,rocking frog stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,body weight,1103,rocky pull-up pulldown,lats,5,12,3,30,20,Beginner,Medium,,,,
back,roller,1104,roller back stretch,spine,5,12,3,30,20,Beginner,Medium,,,,
waist,roller,1105,roller body saw,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,roller,1106,roller hip lat stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,roller,1107,roller hip stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,roller,1108,roller reverse crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,roller,1109,roller seated shoulder flexor depresor retractor,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,roller,1110,roller seated single leg shoulder flexor depresor retractor,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,roller,1111,roller side lat stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
back,rope,1112,rope climb,upper back,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1113,run,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1114,run (equipment),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1115,runners stretch,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,body weight,1116,russian twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1117,scapula dips,traps,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1118,scapula push-up,serratus anterior,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1119,scapular pull-up,traps,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1120,scissor jumps (male),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
lower legs,body weight,1121,seated calf stretch (male),calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,body weight,1122,seated glute stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,1123,seated leg raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1124,seated lower back stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1125,seated piriformis stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,1126,seated side crunch (wall),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1127,seated wide angle pose sequence,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,body weight,1128,self assisted inverse leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,body weight,1129,self assisted inverse leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,body weight,1130,self assisted inverse leg curl (on floor),hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
cardio,body weight,1131,semi squat jump (male),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1132,short stride run,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1133,shoulder grip pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1134,shoulder tap,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,1135,shoulder tap push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1136,side bridge hip abduction,abductors,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1137,side bridge v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1138,side hip (on parallel bars),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1139,side hip abduction,abductors,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1140,side lying floor stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1141,side lying hip adduction (male),adductors,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1142,side plank hip adduction,adductors,5,12,3,30,20,Beginner,Medium,,,,
neck,body weight,1143,side push neck stretch,levator scapulae,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,1144,side push-up,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
lower arms,body weight,1145,side wrist pull stretch,forearms,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1146,side-to-side chin,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1147,side-to-side toe touch (male),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,1148,single arm push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1149,single leg bridge with outstretched leg,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,dumbbell,1150,single leg calf raise (on a dumbbell),calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,body weight,1151,single leg platform slide,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,body weight,1152,single leg squat (pistol) male,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,1153,sissy squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
waist,body weight,1154,sit-up v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1155,sit-up with arms on chest,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,body weight,1156,skater hops,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper arms,skierg machine,1157,ski ergometer,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
cardio,body weight,1158,ski step,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1159,skin the cat,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,sled machine,1160,sled 45 degrees one leg press,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,sled machine,1161,sled 45в° calf press,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,sled machine,1162,sled 45в° leg press,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,sled machine,1163,sled 45в° leg press (back pov),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,sled machine,1164,sled 45в° leg press (side pov),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,sled machine,1165,sled 45в° leg wide press,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,sled machine,1166,sled calf press on leg press,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,sled machine,1167,sled closer hack squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,sled machine,1168,sled forward angled calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,sled machine,1169,sled hack squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,sled machine,1170,sled lying calf press,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,sled machine,1171,sled lying squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,sled machine,1172,sled one leg calf press on leg press,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
waist,hammer,1173,sledge hammer,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,smith machine,1174,smith back shrug,traps,5,12,3,30,20,Beginner,Medium,,,,
shoulders,smith machine,1175,smith behind neck press,delts,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1176,smith bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1177,smith bent knee good morning,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,smith machine,1178,smith bent over row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1179,smith chair squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper arms,smith machine,1180,smith close-grip bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper legs,smith machine,1181,smith deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,smith machine,1182,smith decline bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1183,smith decline reverse-grip press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1184,smith front squat (clean grip),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,smith machine,1185,smith full squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,smith machine,1186,smith hack squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,smith machine,1187,smith hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,smith machine,1188,smith incline bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1189,smith incline reverse-grip press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1190,smith incline shoulder raises,serratus anterior,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1191,smith leg press,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,smith machine,1192,smith low bar squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,smith machine,1193,smith machine bicep curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,smith machine,1194,smith machine decline close grip bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,smith machine,1195,smith machine incline tricep extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
chest,smith machine,1196,smith machine reverse decline close grip bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,smith machine,1197,smith narrow row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,smith machine,1198,smith one arm row,upper back,5,12,3,30,20,Beginner,Medium,,,,
lower legs,smith machine,1199,smith one leg floor calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
shoulders,smith machine,1200,smith rear delt row,delts,5,12,3,30,20,Beginner,Medium,,,,
lower legs,smith machine,1201,smith reverse calf raises,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,smith machine,1202,smith reverse calf raises,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
back,smith machine,1203,smith reverse grip bent over row,upper back,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1204,smith reverse-grip press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
lower legs,smith machine,1205,smith seated one leg calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
shoulders,smith machine,1206,smith seated shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
lower arms,smith machine,1207,smith seated wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
shoulders,smith machine,1208,smith shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
back,smith machine,1209,smith shrug,traps,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1210,smith single leg split squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,smith machine,1211,smith sprint lunge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,smith machine,1212,smith squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower arms,smith machine,1213,smith standing back wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
shoulders,smith machine,1214,smith standing behind head military press,delts,5,12,3,30,20,Beginner,Medium,,,,
lower legs,smith machine,1215,smith standing leg calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
shoulders,smith machine,1216,smith standing military press,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,smith machine,1217,smith sumo squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,smith machine,1218,smith toe raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
shoulders,smith machine,1219,smith upright row,delts,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1220,smith wide grip bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,smith machine,1221,smith wide grip decline bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,barbell,1222,snatch pull,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
waist,dumbbell,1223,spell caster,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1224,sphinx,spine,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1225,spider crawl push up,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,body weight,1226,spine stretch,spine,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1227,spine twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1228,split squats,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,barbell,1229,squat jerk,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,bosu ball,1230,squat on bosu ball,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,body weight,1231,squat to overhead reach,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,body weight,1232,squat to overhead reach with twist,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
waist,stability ball,1233,stability ball crunch (full range hands behind head),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,body weight,1234,stalder press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,body weight,1235,standing archer,upper back,5,12,3,30,20,Beginner,Medium,,,,
shoulders,barbell,1236,standing behind neck press,delts,5,12,3,30,20,Beginner,Medium,,,,
lower legs,body weight,1237,standing calf raise (on a staircase),calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,body weight,1238,standing calves,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,body weight,1239,standing calves calf stretch,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,rope,1240,standing hamstring and calf stretch with strap,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
back,body weight,1241,standing lateral stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1242,standing pelvic tilt,spine,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1243,standing single leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,wheel roller,1244,standing wheel rollerout,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,body weight,1245,star jump (male),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,stationary bike,1246,stationary bike run v. 3,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,leverage machine,1247,stationary bike walk,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1248,straddle maltese,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1249,straddle planche,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1250,straight leg outer hip abductor,abductors,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1251,superman push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1252,suspended abdominal fallout,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,1253,suspended push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1254,suspended reverse crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1255,suspended row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1256,suspended split squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,body weight,1257,swimmer kicks v. 2 (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
cardio,body weight,1258,swing 360,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,1259,three bench dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper legs,tire,1260,tire flip,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,trap bar,1261,trap bar deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,body weight,1262,triceps dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,1263,triceps dip (bench leg),triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,1264,triceps dip (between benches),triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,1265,triceps dips floor,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,1266,triceps press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,1267,triceps stretch,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,body weight,1268,tuck crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,cable,1269,twin handle parallel grip lat pulldown,lats,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1270,twist hip lift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,1271,twisted leg raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1272,twisted leg raise (female),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1273,two toe touch (male),spine,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1274,upper back stretch,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1275,upward facing dog,spine,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1276,v-sit on floor,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1277,vertical leg raise (on parallel bars),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,elliptical machine,1278,walk elliptical cross trainer,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1279,walking high knees lunge,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1280,walking lunge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
cardio,leverage machine,1281,walking on incline treadmill,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,stepmill machine,1282,walking on stepmill,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper arms,weighted,1283,weighted bench dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,weighted,1284,weighted close grip chin-up on dip cage,lats,5,12,3,30,20,Beginner,Medium,,,,
upper legs,weighted,1285,weighted cossack squats (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,weighted,1286,weighted crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,weighted,1287,weighted decline sit-up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
lower legs,weighted,1288,weighted donkey calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
chest,weighted,1289,weighted drop push up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,weighted,1290,weighted front plank,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,weighted,1291,weighted front raise,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,weighted,1292,weighted hanging leg-hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,weighted,1293,weighted hyperextension (on stability ball),spine,5,12,3,30,20,Beginner,Medium,,,,
shoulders,weighted,1294,weighted kneeling step with swing,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,weighted,1295,weighted lunge with swing,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,weighted,1296,weighted muscle up,lats,5,12,3,30,20,Beginner,Medium,,,,
back,weighted,1297,weighted muscle up (on bar),lats,5,12,3,30,20,Beginner,Medium,,,,
back,weighted,1298,weighted one hand pull up,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,weighted,1299,weighted overhead crunch (on stability ball),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,weighted,1300,weighted pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
shoulders,weighted,1301,weighted round arm,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,weighted,1302,weighted russian twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,weighted,1303,weighted russian twist (legs up),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,weighted,1304,weighted russian twist v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,medicine ball,1305,weighted seated bicep curl  (on stability ball),biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
waist,weighted,1306,weighted seated twist (on stability ball),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,weighted,1307,weighted side bend (on stability ball),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,weighted,1308,weighted sissy squat,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,weighted,1309,weighted squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,weighted,1310,weighted standing curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower arms,weighted,1311,weighted standing hand squeeze,forearms,5,12,3,30,20,Beginner,Medium,,,,
chest,weighted,1312,weighted straight bar dip,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,weighted,1313,weighted stretch lunge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,weighted,1314,weighted svend press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,weighted,1315,weighted three bench dips,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,weighted,1316,weighted tricep dips,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,weighted,1317,weighted triceps dip on high parallel bars,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,wheel roller,1318,wheel rollerout,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,body weight,1319,wheel run,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1320,wide grip pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1321,wide grip rear pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1322,wide hand push up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1323,wide-grip chest dip on high parallel bars,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1324,wind sprints,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1325,world greatest stretch,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
lower arms,body weight,1326,wrist circles,forearms,5,12,3,30,20,Beginner,Medium,,,,
lower arms,weighted,1327,wrist rollerer,forearms,5,12,3,30,20,Beginner,Medium,,,,
fullbody,barbell,1328,Clean and Jerk,fullbody,7,5,5,60,75,Advanced,High,,,,
chest,barbell,1329,Bench Press,pectorals,5,8,4,45,60,Intermediate,High,,,,
back,barbell,1330,Bent Over Row,lats,5,10,4,45,55,Intermediate,High,,,,
legs,barbell,1331,Back Squat,quads,7,6,4,60,70,Intermediate,High,,,,
shoulders,barbell,1332,Overhead Press,delts,5,8,4,45,50,Intermediate,High,,,,
legs,barbell,1333,Deadlift,hamstrings,7,5,4,60,80,Advanced,High,,,,
fullbody,barbell,1334,Snatch,fullbody,7,3,5,90,85,Advanced,High,,,,
arms,dumbbell,1335,Hammer Curl,biceps,5,12,3,30,30,Intermediate,Medium,,,,
chest,dumbbell,1336,Incline Press,pectorals,5,10,3,45,45,Intermediate,High,,,,
back,dumbbell,1337,Single Arm Row,lats,5,10,3,30,40,Intermediate,Medium,,,,
legs,dumbbell,1338,Bulgarian Split Squat,quads,6,8,3,45,50,Intermediate,High,,,,
shoulders,dumbbell,1339,Lateral Raise,delts,5,12,3,30,35,Intermediate,Medium,,,,
cardio,bodyweight,1340,Burpees,cardiovascular,10,15,4,20,120,Advanced,High,,,,
core,bodyweight,1341,Hanging Leg Raise,abs,5,12,3,30,40,Intermediate,Medium,,,,
cardio,bodyweight,1342,Mountain Climbers,cardiovascular,5,20,3,15,60,Intermediate,High,,,,
back,bodyweight,1343,Pull Ups,lats,5,8,4,45,50,Intermediate,High,,,,
chest,bodyweight,1344,Archer Push Ups,pectorals,5,6,3,45,45,Advanced,High,,,,
legs,bodyweight,1345,Pistol Squats,quads,6,5,3,60,55,Advanced,High,,,,
back,kettlebell,1346,Kettlebell Swing,lats,7,15,3,40,55,Intermediate,High,,,,
legs,kettlebell,1347,Goblet Squat,quads,6,10,3,45,50,Intermediate,Medium,,,,
shoulders,kettlebell,1348,Overhead Press,delts,5,8,3,45,45,Intermediate,High,,,,
core,kettlebell,1349,Russian Twist,abs,5,20,3,30,35,Intermediate,Medium,,,,
fullbody,kettlebell,1350,Turkish Get Up,fullbody,10,5,3,60,65,Advanced,High,,,,
cardio,rowing machine,1351,500m Sprints,cardiovascular,15,0,5,30,150,Intermediate,High,,,,
cardio,stationary bike,1352,HIIT Intervals,cardiovascular,20,0,0,10,200,Advanced,High,,,,
cardio,jump rope,1353,Double Unders,cardiovascular,5,30,3,15,80,Advanced,High,,,,
back,resistance band,1354,Seated Row,lats,5,12,3,30,35,Intermediate,Medium,,,,
legs,resistance band,1355,Monster Walk,glutes,5,15,3,30,40,Intermediate,Medium,,,,
shoulders,resistance band,1356,Face Pulls,delts,5,12,3,30,30,Intermediate,Medium,,,,
core,resistance band,1357,Pallof Press,abs,5,12,3,30,30,Intermediate,Medium,,,,
chest,TRX,1358,TRX Push Ups,pectorals,5,10,3,30,40,Intermediate,Medium,,,,
back,TRX,1359,Inverted Row,upper back,6,8,3,45,45,Intermediate,High,,,,
core,TRX,1360,TRX Fallout,abs,5,10,3,30,35,Intermediate,Medium,,,,
legs,TRX,1361,TRX Squat,quads,5,12,3,30,40,Intermediate,Medium,,,,
yoga,bodyweight,1362,Sun Salutations,flexibility,10,0,3,0,50,Beginner,Low,,,,
yoga,bodyweight,1363,Warrior III,balance,5,0,3,30,30,Beginner,Low,,,,
pilates,bodyweight,1364,Teaser,core,5,8,3,30,35,Intermediate,Medium,,,,
swimming,pool,1365,Freestyle,cardiovascular,30,0,0,0,250,Intermediate,Medium,,,,
rehab,bodyweight,1366,Seated Leg Lift,quads,5,15,3,30,20,Beginner,Low,,,,
rehab,resistance band,1367,Clamshell,glutes,5,15,3,30,25,Beginter,Low,,,,
